major_name,cluster,cluster_label
Công nghệ kỹ thuật Chip bán dẫn – ESCT,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật Cơ khí,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật Cơ điện tử,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật Hóa học,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật Hóa học (CTTCTA),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật Robot và Trí tuệ nhân tạo,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật công trình xây dựng,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật công trình xây dựng (02 Chuyên ngành) - Xây dựng cầu đường - Xây dựng dân dụng và công nghiệp,0,Ngành Cạnh tranh Cao
"Công nghệ kỹ thuật công trình xây dựng (Chương trình chuẩn, ngoại ngữ tiếng Anh)",0,Ngành Cạnh tranh Cao
"Công nghệ kỹ thuật công trình xây dựng (Chương trình chuẩn, ngoại ngữ tiếng Nhật)",0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ - điện tử,1,Ngành Cạnh tranh Khá
Công nghệ kỹ thuật cơ khí,1,Ngành Cạnh tranh Khá
Công nghệ kỹ thuật cơ khí (CS Hà Nội),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ khí (CS Nam Định),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ khí (CT tăng cường TA),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ khí (CTĐT bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ kỹ thuật khuôn mẫu),0,Ngành Cạnh tranh Cao
"Công nghệ kỹ thuật cơ khí (Chương trình chuẩn, ngoại ngữ tiếng Anh)",0,Ngành Cạnh tranh Cao
"Công nghệ kỹ thuật cơ khí (Chương trình chuẩn, ngoại ngữ tiếng Nhật)",0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ khí (Chương trình nâng cao),0,Ngành Cạnh tranh Cao
"Công nghệ kỹ thuật cơ khí (Kỹ thuật Robot và Cơ điện tử - Chương trình chuẩn, ngoại ngữ tiếng Anh)",0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ khí (chuyên ngành Cơ khí chế tạo),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ khí (chuyên ngành Thiết kế và mô phỏng số trong cơ khí),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ điện tử,1,Ngành Cạnh tranh Khá
Công nghệ kỹ thuật cơ điện tử (CS Hà Nội),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ điện tử (CS Nam Định),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ điện tử (CT tăng cường TA),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật cơ điện tử ô tô,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật giao thông (chuyên ngành Xây dựng cầu đường),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật hoá học,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật hoá học (Chương trình nâng cao),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật hóa học,1,Ngành Cạnh tranh Khá
Công nghệ kỹ thuật hóa học (CTCLC),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật hạt nhân,1,Ngành Cạnh tranh Khá
Công nghệ kỹ thuật khuôn mẫu,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật kiến trúc,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật máy tính,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật máy tính (CS Hà Nội),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật máy tính (CS Nam Định),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật máy tính (cử nhân),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật máy tính (kỹ sư),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật môi trường,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật môi trường (Chuyên ngành cấp thoát nước và môi trường nước),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật nhiệt,1,Ngành Cạnh tranh Khá
Công nghệ kỹ thuật nhiệt (CT tăng cường TA),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật nhiệt (Chuyên ngành Điện lạnh),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật nhiệt (chuyên ngành Nhiệt - Điện lạnh),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật nhiệt (Điện lạnh),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật nhiệt gồm 03 chuyên ngành: Công nghệ kỹ thuật nhiệt; Công nghệ kỹ thuật năng lượng; Quản lý năng lượng,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật năng lượng,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật năng lượng tái tạo,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật năng lượng tái tạo (Phân hiệu Ninh Thuận),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật vi mạch bán dẫn,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật vật liệu xây dựng,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật xây dựng,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật xây dựng (chuyên ngành Xây dựng dân dụng và Công nghiệp),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật xây dựng Cầu đường bộ,0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật xây dựng Cầu đường bộ (tăng cường tiếng Nhật; định hướng làm việc tại Nhật Bản),0,Ngành Cạnh tranh Cao
Công nghệ kỹ thuật xây dựng cầu đường bộ (hợp tác doanh nghiệp),0,Ngành Cạnh tranh Cao
